,datetime,text,user,location
139,2020-06-20 21:36:54,@AmericaFree1 @shopDisney Good luck with that. https://t.co/uVxJIUE4gQ,Cyanotic_,
140,2020-06-20 21:36:39,@shopDisney Why's it fucking look like this,Lois_Family_Guy,Adhd He/Him Black gay 15
141,2020-06-20 21:35:40,@harleyalive @shopDisney It's probably the worst looking merch him.,Cyanotic_,
142,2020-06-20 21:30:58,"#HelloPotato
https://t.co/dZ4rqNQgfI

Today’s video is about half me talking about #ShopDisney and half new items f… https://t.co/l3ymYY9HQY",VOIDMunashii,Northern California
143,2020-06-20 21:13:13,"@KristySki @shopDisney wow, are these what you’ll call “white people problems” ?? 

- Main Attraction Collection ?… https://t.co/TcW3fiUNP0",LootersNyc,
144,2020-06-20 21:11:20,Minnie Mouse Fancy Dress for Women | shopDisney | Source: https://t.co/Ui5C4sCwNG #geek #thegreedygeek https://t.co/JpUuTrOhzh,GeekGreedy,
145,2020-06-20 20:59:24,DUDE https://t.co/Q1bx9vd4HX,maddublican,"Ohio, USA"
146,2020-06-20 20:58:19,@shopDisney when will the baby Yoda loungefly backpack next available for order?,capholllywood,"California, USA"
147,2020-06-20 20:51:41,@shopDisney Mark you blame him? Lol!,BrownYasmine,New York
148,2020-06-20 20:50:41,@mckaylaslife @TibbyVenk @shopDisney Hmmm.  @TibbyVenk maybe they are just made small.  Wear the one I gave you from #CharliesProject,jerseydemps,"Winter Garden, FL"
149,2020-06-20 20:49:04,@TibbyVenk @shopDisney I hate mine! We got the large and they barely fit. We wore them to springs today and it was… https://t.co/FJj8pb3i11,mckaylaslife,
150,2020-06-20 20:30:57,@shopDisney @intuMerryHill I#we visited today and we were so happy with how organised and Well the staff where with… https://t.co/8z8YLsW0Vw,TheTiptonfam,"England, United Kingdom"
151,2020-06-20 20:26:36,@shopDisney @_pamknudsen109_ Does this mean you’ll make previous releases in this set available since there’s been so many issues?,CAP10AMERICA,"iPhone: 42.695641,-83.068672"
152,2020-06-20 20:23:19,@TibbyVenk @shopDisney Rats!,amc0989,
153,2020-06-20 20:18:31,"@amc0989 @shopDisney No the sizes were small, medium, large. I chose medium and it just ended up being too small for my face.",TibbyVenk,"Lake Buena Vista, FL"
154,2020-06-20 20:06:34,Gunna have to cop that https://t.co/JGfklu7E1u,slademorley66,
155,2020-06-20 20:04:15,.@shopDisney We got this 1500 piece puzzle on Thursday night. My daughter finished it this morning and there is a p… https://t.co/uKT0TLX4BN,traciamc,From New England to the Desert
156,2020-06-20 19:57:41,@TibbyVenk @shopDisney Maybe they sent you the kids version instead?,amc0989,
157,2020-06-20 19:52:47,@carofr1026 @shopDisney definitely lol! 😂,lexivas,"Charlotte, NC"
158,2020-06-20 19:50:54,@shopDisney #shopdisneysupport thanks. One more month to go I assume since mine said July,cu_compliance,El Paso
